# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 1
# active_virtual = 0
# process  = nu_e nu_e -> nu_e nu_e
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
0.024365400091257	1.00103803803324e-05	6.31433489527604e-14	1.00103803797988e-05	1.0000000000533
0.0257526332677144	1.11827024449778e-05	1.57013171246727e-18	1.11827024443062e-05	1.00000000006006
0.0272188479457544	1.24923158860262e-05	1.57013171246727e-18	1.24923158851894e-05	1.00000000006698
0.0287685409019086	1.39552989801381e-05	1.57013171246727e-18	1.39552989790926e-05	1.00000000007492
0.0304064649346735	1.55896129399708e-05	1.57013171246727e-18	1.55896129386702e-05	1.00000000008343
0.0321376434410058	1.74153224257154e-05	4.17929108241541e-14	1.74153224240951e-05	1.00000000009304
0.0339673858227253	1.94548418807521e-05	1.57013171246727e-18	1.9454841878724e-05	1.00000000010424
0.0359013037700741	2.17332107157004e-05	1.47862501508782e-13	2.17332107131842e-05	1.00000000011578
0.0379453284723729	2.42784007194649e-05	1.57013171246727e-18	2.42784007163109e-05	1.00000000012991
0.0401057288085587	2.71216594709498e-05	1.57013171246727e-18	2.71216594670092e-05	1.00000000014529
0.0423891305733917	3.02978939679953e-05	6.44799567293372e-14	3.02978939630899e-05	1.00000000016191
0.0448025367982991	3.38460991829709e-05	1.39133444686067e-13	3.38460991768622e-05	1.00000000018048
0.0473533492291756	3.78098368064603e-05	1.57013171246727e-18	3.78098367988202e-05	1.00000000020206
0.0500493910270142	4.22377700564238e-05	8.61006392185211e-14	4.22377700469e-05	1.00000000022548
