# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 6
# active_virtual = 0
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
6.15997796038068e-05	1.06600691379549e-11	6.73773800979746e-15	1.06637654316946e-11	0.999653378183969
6.510693555482e-05	1.19084767691269e-11	7.52679889105125e-15	1.19126059382309e-11	0.999653378183972
6.88137698641625e-05	1.33030862300807e-11	8.40826720540098e-15	1.33076989688643e-11	0.999653378183977
7.27316511300208e-05	1.48610193122066e-11	9.39296484745217e-15	1.48661722518299e-11	0.999653378183971
7.68725952166439e-05	1.66014029510231e-11	1.04929810709145e-14	1.66071593547579e-11	0.999653378183961
8.12493021061475e-05	1.85456040499096e-11	1.17218209098527e-14	1.85520345898301e-11	0.999653378183974
8.58751948484592e-05	2.07174918041985e-11	1.30945709817049e-14	2.07246754288322e-11	0.999653378183973
9.07644607288616e-05	2.31437307462152e-11	1.46280847074743e-14	2.31517556498029e-11	0.999653378183966
9.59320947793909e-05	2.58541081090117e-11	1.63411892232002e-14	2.58630728142786e-11	0.999653378183972
0.000101393945767538	2.88818995278784e-11	1.82549165231539e-14	2.88919140956106e-11	0.999653378183977
0.000107166764803296	3.22642775694006e-11	2.0392761672109e-14	3.22754649496747e-11	0.999653378183969
0.000113268256713626	3.60427681036186e-11	2.27809712571109e-14	3.60552656452739e-11	0.999653378183972
0.000119717134341908	4.02637601222245e-11	2.54488656201636e-14	4.02777212591126e-11	0.999653378183976
0.000126533175938906	4.49790752619037e-11	2.84291988275784e-14	4.49946713966148e-11	0.999653378183971
0.000133737285821262	5.02466040249253e-11	3.17585607956201e-14	5.02640266331176e-11	0.999653378183975
0.000141351558483553	5.61310165079352e-11	3.54778265095263e-14	5.61504794891068e-11	0.999653378183969
0.00014939934636054	6.27045563646682e-11	3.96326578505527e-14	6.27262986682251e-11	0.999653378183974
0.000157905331447433	7.00479277501396e-11	4.42740641927113e-14	7.00722163090099e-11	0.999653378183969
0.000166895600997819	7.82512861354603e-11	4.94590286508266e-14	7.82784191432592e-11	0.999653378183976
0.000176397727531422	8.74153451576059e-11	5.52512076695162e-14	8.74456557295985e-11	0.999653378183974
0.000186440853397067	9.7652613093096e-11	6.1721712540884e-14	9.76864733558914e-11	0.999653378183978
0.000197055780150199	1.09088774135897e-10	6.89499824469561e-14	1.09126599796095e-10	0.999653378183969
0.000208275063019072	1.21864231437694e-10	7.70247597435752e-14	1.21906486885563e-10	0.999653378183979
0.000220133110749325	1.3613583085459e-10	8.60451794623151e-14	1.36183034865447e-10	0.999653378183974
0.000232666291133169	1.52078786562934e-10	9.61219864020707e-14	1.52131518666209e-10	0.999653378183974
0.000245913042546829	1.69888832185239e-10	1.07378894757571e-13	1.69947739779431e-10	0.999653378183975
0.00025991399183832	1.89784623835877e-10	1.19954106973382e-13	1.89850430136744e-10	0.999653378183973
