# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 2
# active_virtual = 0
# process  = nu_e nu_e~ -> nu_e nu_e~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
5.07815211232656e-10	2.90078768962944e-21	1.57013171246727e-18	2.89720948818944e-21	1.00123505098771
5.28107971193317e-10	3.13725613846768e-21	1.57013171246727e-18	3.13338624668882e-21	1.00123505098771
5.49211648388657e-10	3.39300118844975e-21	1.57013171246727e-18	3.38881582811406e-21	1.00123505098771
5.71158647812515e-10	3.66959424309054e-21	1.57013171246727e-18	3.66506769761057e-21	1.00123505098771
5.93982669391902e-10	3.96873480468061e-21	1.57013171246727e-18	3.96383926108608e-21	1.00123505098771
6.17718759733709e-10	4.29226091673229e-21	1.57013171246727e-18	4.28696629477562e-21	1.00123505098772
6.42403365939273e-10	4.6421604576802e-21	1.57013171246727e-18	4.63643422501111e-21	1.00123505098772
6.68074391569408e-10	5.02058335522977e-21	1.57013171246727e-18	5.01439032750303e-21	1.00123505098771
6.94771254845863e-10	5.4298547964037e-21	1.57013171246727e-18	5.4231569210918e-21	1.00123505098771
7.22534949178554e-10	5.87248951445388e-21	1.57013171246727e-18	5.86524563703665e-21	1.00123505098772
7.51408106111521e-10	6.35120724042403e-21	1.57013171246727e-18	6.34337285151833e-21	1.00123505098771
7.81435060784271e-10	6.86894941430406e-21	1.57013171246727e-18	6.8604763761795e-21	1.00123505098771
8.12661920009003e-10	7.42889725845539e-21	1.57013171246727e-18	7.41973350925626e-21	1.00123505098771
8.45136633068271e-10	8.03449132435898e-21	1.57013171246727e-18	8.02458055821454e-21	1.00123505098772
8.78909065341786e-10	8.68945263278827e-21	1.57013171246727e-18	8.67873395384648e-21	1.00123505098771
9.14031074875403e-10	9.39780553730274e-21	1.57013171246727e-18	9.38621308556052e-21	1.00123505098772
9.5055659200989e-10	1.01639024515423e-20	1.57013171246727e-18	1.01513649981747e-20	1.00123505098771
9.88541702191717e-10	1.09924505922601e-20	1.57013171246727e-18	1.09788911019606e-20	1.00123505098772
1.02804473209306e-09	1.18885409024112e-20	1.57013171246727e-18	1.18738760600552e-20	1.00123505098772
1.06912633917321e-09	1.28576793320155e-20	1.57013171246727e-18	1.28418190307376e-20	1.00123505098771
1.111849604819e-09	1.39058206689948e-20	1.57013171246727e-18	1.38886674565345e-20	1.00123505098772
1.15628013120709e-09	1.5039405127856e-20	1.57013171246727e-18	1.50208536077714e-20	1.00123505098772
1.20248614203711e-09	1.62653979210369e-20	1.57013171246727e-18	1.62453341051047e-20	1.00123505098771
1.25053858729008e-09	1.75913320560566e-20	1.57013171246727e-18	1.75696326638813e-20	1.00123505098772
1.30051125217308e-09	1.90253546214328e-20	1.57013171246727e-18	1.90018863229611e-20	1.00123505098772
1.35248087041753e-09	2.0576276845769e-20	1.57013171246727e-18	2.05508954420549e-20	1.00123505098771
1.40652724210488e-09	2.22536282375928e-20	1.57013171246727e-18	2.22261777747789e-20	1.00123505098771
1.46273335620075e-09	2.40677151386023e-20	1.57013171246727e-18	2.40380269496753e-20	1.00123505098772
1.52118551798571e-09	2.6029684050099e-20	1.57013171246727e-18	2.59975757185297e-20	1.00123505098771
1.58197348157819e-09	2.8151590121709e-20	1.57013171246727e-18	2.81168643606091e-20	1.00123505098771
1.64519058775323e-09	3.04464712232144e-20	1.57013171246727e-18	3.04089146631245e-20	1.00123505098771
1.71093390726857e-09	3.29284280546265e-20	1.57013171246727e-18	3.28878099324856e-20	1.00123505098771
1.77930438991811e-09	3.56127107867259e-20	1.57013171246727e-18	3.5568781527968e-20	1.00123505098771
1.85040701954181e-09	3.85158127644295e-20	1.57013171246727e-18	3.84683024494937e-20	1.00123505098771
1.92435097522982e-09	4.16555718487326e-20	1.57013171246727e-18	4.16041885545653e-20	1.00123505098771
2.0012497989685e-09	4.50512800199147e-20	1.57013171246727e-18	4.49957080262741e-20	1.00123505098771
2.08122156998578e-09	4.87238019154576e-20	1.57013171246727e-18	4.86636997649974e-20	1.00123505098771
2.16438908606344e-09	5.26957030310206e-20	1.57013171246727e-18	5.26307014312339e-20	1.00123505098771
